"ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_quema_primavera"
"90,7.962945799299215,23,Quema,Quema otoño / Pastoreo"
"93,9.021293836102744,35,Quema,Quema otoño / No pastoreo"
"94,1.2307727522576408,22,Quema,Quema otoño / Pastoreo"
"92,15.676510459003554,40,Quema,Quema otoño / No pastoreo"
"89,1.3613237719862765,15,Quema,Quema otoño / Pastoreo"
"95,5.6259866894403,45,Quema,Quema otoño / No pastoreo"
"99,8.482838506209806,30,Quema,Quema otoño / Pastoreo"
"97,12.158560418502232,40,Quema,Quema otoño / Pastoreo"
"88,64.9463180465731,82,Control,Control / Pastoreo"
"84,77.07299047126516,80,Control,Control / Pastoreo"
"78,0.0,10,Quema,Quema primavera / Pastoreo"
"87,89.82160518534039,95,Control,Control / Pastoreo"
"79,8.44979342607286,20,Quema,Quema primavera / No pastoreo"
"80,12.952203731660584,20,Quema,Quema primavera / Pastoreo"
"81,0.0,15,Quema,Quema primavera / No pastoreo"
"77,0.0,4,Quema,Quema primavera / Pastoreo"
"91,19.388401034759024,65,Quema,Quema otoño / No pastoreo"
"82,20.384180747742413,18,Quema,Quema primavera / No pastoreo"
"102,61.36562899644762,90,Control,Control / No pastoreo"
"105,59.22328762064868,65,Control,Control / Pastoreo"
"103,63.288365736816075,85,Control,Control / No pastoreo"
"104,46.551613724635644,90,Control,Control / Pastoreo"
"112,2.283481106609896,7,Quema,Quema primavera / Pastoreo"
"106,47.06037656133286,65,Control,Control / No pastoreo"
"110,0.6118463593423772,12,Quema,Quema primavera / Pastoreo"
"108,0.5627357511675755,30,Quema,Quema primavera / No pastoreo"
"107,9.02211802933817,25,Quema,Quema primavera / Pastoreo"
"109,0.27435523681918733,5,Quema,Quema primavera / No pastoreo"
"100,8.376168017788439,55,Quema,Quema otoño / Pastoreo"
"111,0.0,12,Quema,Quema primavera / No pastoreo"
"96,23.23280156673547,45,Quema,Quema otoño / No pastoreo"
"98,1.808610357086105,45,Quema,Quema otoño / No pastoreo"
"169,26.24679179460625,70,Control,Control / No pastoreo"
"171,73.23263715067516,81,Control,Control / No pastoreo"
"170,84.31671065573549,80,Control,Control / No pastoreo"
"172,75.1012377752297,90,Control,Control / No pastoreo"
"140,18.8876012940086,18,Quema,Quema primavera / Pastoreo"
"123,8.04202050878816,60,Quema,Quema primavera / No pastoreo"
"141,30.39652757051179,50,Quema,Quema primavera / No pastoreo"
"139,6.004838792291064,40,Quema,Quema primavera / No pastoreo"
"134,98.57369880984297,94,Control,Control / Pastoreo"
"137,2.1104488656252074,5,Quema,Quema primavera / Pastoreo"
"132,66.03968264553573,55,Control,Control / Pastoreo"
"136,52.08499424108168,25,Control,Control / Pastoreo"
"131,97.19852081426296,98,Control,Control / No pastoreo"
"113,71.55960748443195,85,Control,Control / No pastoreo"
"135,86.59967451519499,97,Control,Control / No pastoreo"
"121,6.440985566044617,20,Quema,Quema primavera / No pastoreo"
"114,76.65706778594729,75,Control,Control / Pastoreo"
"128,7.8294024757053275,18,Quema,Quema otoño / Pastoreo"
"126,34.88128078285471,35,Quema,Quema otoño / Pastoreo"
"125,13.093523941789378,12,Quema,Quema otoño / No pastoreo"
"127,20.626243200290553,35,Quema,Quema otoño / No pastoreo"
"130,30.238001099656543,25,Quema,Quema otoño / No pastoreo"
"119,0.7735320551999896,7,Quema,Quema primavera / Pastoreo"
"129,29.344261321535093,30,Quema,Quema otoño / Pastoreo"
"122,5.39920314554426,12,Quema,Quema primavera / Pastoreo"
"120,4.269644323114406,20,Quema,Quema primavera / No pastoreo"
"115,52.3799805901364,92,Control,Control / Pastoreo"
"117,46.32199642113699,76,Control,Control / Pastoreo"
"138,2.7567942245499557,12,Quema,Quema primavera / Pastoreo"
"118,34.962196346391686,30,Control,Control / No pastoreo"
"142,1.2550184878794215,8,Quema,Quema primavera / No pastoreo"
"148,29.007917191073968,35,Quema,Quema otoño / Pastoreo"
"145,50.97091746459409,50,Quema,Quema otoño / No pastoreo"
"143,43.19768246894648,60,Quema,Quema otoño / No pastoreo"
"146,40.258011463692526,30,Quema,Quema otoño / Pastoreo"
"147,33.223804062085314,40,Quema,Quema otoño / No pastoreo"
"144,33.1790367283731,30,Quema,Quema otoño / Pastoreo"
"124,7.925685315824059,25,Quema,Quema primavera / Pastoreo"
"116,44.865826896487604,97,Control,Control / No pastoreo"
"173,63.10682903932784,80,Control,Control / No pastoreo"
